version,version_label,space,space_label,n,n_perm,seed,term,df,SumOfSqs,R2,pseudo_F,p,permutation
D,"D log(SDI), common support",morph,"D_morph (M-SPHARM, l = 1-8)",20,9999,42,Raw_mat:SDI,1,1.4163503729611193,0.03040753995724482,0.7202491046916488,0.5647,restricted_within_rawmat
D,"D log(SDI), common support",morph,"D_morph (M-SPHARM, l = 1-8)",20,9999,42,Residual,11,21.631202317484753,0.46439896606729,NA,NA,restricted_within_rawmat
D,"D log(SDI), common support",morph,"D_morph (M-SPHARM, l = 1-8)",20,9999,42,Total,19,46.57892006234669,1,NA,NA,restricted_within_rawmat
D,"D log(SDI), common support",combined,D_comb (MFA-normalised join),20,9999,42,Raw_mat,1,0.4946702117771745,0.12218540432208731,3.44131483570737,0.0044,free
D,"D log(SDI), common support",combined,D_comb (MFA-normalised join),20,9999,42,core_type,5,1.7863162473020946,0.4412268370468136,2.485403995126705,6e-4,free
D,"D log(SDI), common support",combined,D_comb (MFA-normalised join),20,9999,42,SDI,1,0.09520446098024271,0.02351586022603939,0.6623170674049275,0.7006,free
D,"D log(SDI), common support",combined,D_comb (MFA-normalised join),20,9999,42,Raw_mat:SDI,1,0.09114045861326892,0.022512036343880323,0.6340446723731511,0.727,free
D,"D log(SDI), common support",combined,D_comb (MFA-normalised join),20,9999,42,Residual,11,1.5811899199366435,0.3905598620611794,NA,NA,free
D,"D log(SDI), common support",combined,D_comb (MFA-normalised join),20,9999,42,Total,19,4.048521298609424,1,NA,NA,free
D,"D log(SDI), common support",combined,D_comb (MFA-normalised join),20,9999,42,Raw_mat,1,0.4946702117771745,0.12218540432208731,3.44131483570737,0.0024,restricted_within_rawmat
D,"D log(SDI), common support",combined,D_comb (MFA-normalised join),20,9999,42,core_type,5,1.7863162473020946,0.4412268370468136,2.485403995126705,5e-4,restricted_within_rawmat
D,"D log(SDI), common support",combined,D_comb (MFA-normalised join),20,9999,42,SDI,1,0.09520446098024271,0.02351586022603939,0.6623170674049275,0.6705,restricted_within_rawmat
D,"D log(SDI), common support",combined,D_comb (MFA-normalised join),20,9999,42,Raw_mat:SDI,1,0.09114045861326892,0.022512036343880323,0.6340446723731511,0.6847,restricted_within_rawmat
D,"D log(SDI), common support",combined,D_comb (MFA-normalised join),20,9999,42,Residual,11,1.5811899199366435,0.3905598620611794,NA,NA,restricted_within_rawmat
D,"D log(SDI), common support",combined,D_comb (MFA-normalised join),20,9999,42,Total,19,4.048521298609424,1,NA,NA,restricted_within_rawmat
